fold,prune_method,min_val,max_val,prune_bias,performance_Dice,performance_FN,performance_FP,performance_IoU,performance_TN,performance_TP,performance_n_pred,performance_n_ref,weights_zeros,weights_total,weights_percentage,biases_zeros,biases_total,biases_percentage,total_zeros,total_total,total_percentage
1,RangePruning,-8e-3,8e-3,False,0.7129657429727246,2184.1166666666663,601.59,0.6023754985861618,527757.6,4475.573333333334,5077.163333333333,6659.69,19320453,20610080,93.74,4,10996,0.04,19320457,20621076,93.69
1,RangePruning,-2e-3,2e-3,True,0.923232034744033,459.86999999999995,424.62999999999994,0.8607461443446024,527934.56,6199.82,6624.450000000001,6659.69,9248990,20610080,44.88,5691,10996,51.76,9254681,20621076,44.88
1,RangePruning,-4e-3,4e-3,True,0.9190060408645246,526.4633333333333,388.77666666666664,0.8541823359903917,527970.4133333334,6133.2266666666665,6522.003333333334,6659.69,15026277,20610080,72.91,6153,10996,55.96,15032430,20621076,72.9
1,RangePruning,-1e-3,1e-3,True,0.9229963170070871,452.7033333333334,433.7366666666667,0.8603900016835929,527925.4533333334,6206.986666666667,6640.723333333334,6659.69,4939750,20610080,23.97,5357,10996,48.72,4945107,20621076,23.98
1,RangePruning,-4e-3,4e-3,False,0.9190194463125118,526.9366666666666,388.58,0.8541958722899304,527970.61,6132.753333333334,6521.333333333333,6659.69,15026277,20610080,72.91,4,10996,0.04,15026281,20621076,72.87
1,RangePruning,-1e-2,1e-2,False,0.31793523519629535,4798.05,421.57,0.24530490168325705,527937.62,1861.64,2283.21,6659.69,20000259,20610080,97.04,4,10996,0.04,20000263,20621076,96.99
1,RangePruning,-9e-3,9e-3,True,0.5227338064594743,3523.583333333334,452.65333333333336,0.42569464793043893,527906.5366666667,3136.1066666666666,3588.7599999999998,6659.69,19724074,20610080,95.7,6600,10996,60.02,19730674,20621076,95.68
1,RangePruning,-2e-3,2e-3,False,0.9232330430432804,459.71333333333337,424.95,0.860742885782178,527934.24,6199.9766666666665,6624.926666666666,6659.69,9248990,20610080,44.88,4,10996,0.04,9248994,20621076,44.85
1,RangePruning,-6e-3,6e-3,False,0.8821875358659753,792.64,513.56,0.7987407753782411,527845.63,5867.05,6380.610000000001,6659.69,17907149,20610080,86.89,4,10996,0.04,17907153,20621076,86.84
1,RangePruning,-7e-3,7e-3,True,0.8320812158320492,1236.46,650.24,0.7296878151091314,527708.9500000001,5423.23,6073.47,6659.69,18738041,20610080,90.92,6490,10996,59.02,18744531,20621076,90.9
1,RangePruning,-9e-3,9e-3,False,0.5201795809067625,3555.016666666667,439.68,0.4231991627060525,527919.5100000001,3104.6733333333336,3544.353333333333,6659.69,19724074,20610080,95.7,4,10996,0.04,19724078,20621076,95.65
